"level","family","genus","rn","rn.bl","bn","bn.bl","gen.n","sp.n","taxa"
"F","Casuarinaceae","","N36433",84.7724650000001,"N36519",35.29981,4,75,""
"F","Myricaceae","","N36432",89.7581630000001,"N36593",39.304474,4,19,""
"F","Juglandaceae","","N36431",90.6490290000001,"N36611",50.201097,9,43,""
"F","Fagaceae","","N36430",97.8795620000001,"N36653",40.231408,9,215,""
"F","Nothofagaceae","","N36429",102.81954,"N36867",20.153761,2,9,""
"F","Hypericaceae","","N36887",67.823086,"N36888",47.649036,7,254,""
"F","Podostemaceae","","N36887",67.823086,"N37141",49.525727,25,65,""
"F","Clusiaceae","","N36886",89.065954,"N37205",51.077455,13,174,""
"F","Calophyllaceae","","N37378",88.379892,"N37379",60.556948,11,42,""
"F","Bonnetiaceae","","N37378",88.379892,"N37420",57.389393,3,9,""
"F","Malpighiaceae","","N37428",73.883652,"N37429",51.330575,73,370,""
"F","Elatinaceae","","N37428",73.883652,"N37798",39.919736,2,27,""
"F","Passifloraceae","","N37825",91.126433,"N37826",58.298144,29,373,""
"F","Salicaceae","","N38198",74.11267,"N38199",62.607321,35,260,""
"F","Lacistemataceae","","N38198",74.11267,"N38458",25.474468,2,3,""
"F","Violaceae","","N38461",83.071321,"N38462",70.633806,28,277,""
"F","Goupiaceae","","N38461",83.071322,"N38461",83.071322,1,1,"Goupia_glabra"
"F","Achariaceae","","N38460",90.000814,"N38738",64.938055,12,12,""
"F","Centroplacaceae","","N36882",94.892947,"N38749",63.474184,2,3,""
"F","Phyllanthaceae","","N38753",83.778521,"N38754",71.92514,48,352,""
"F","Picrodendraceae","","N38753",83.778521,"N39105",46.116416,12,12,""
"F","Rhizophoraceae","","N39118",72.858149,"N39119",59.265814,10,32,""
"F","Erythroxylaceae","","N39118",72.858149,"N39150",44.590967,3,8,""
"F","Ctenolophonaceae","","N39117",87.549135,"N39117",87.549135,1,1,"Ctenolophon_englerianus"
"F","Pandaceae","","N39116",91.6903170000001,"N39157",45.154308,3,6,""
"F","Irvingiaceae","","N38751",93.60741,"N39162",11.767041,3,4,""
"F","Chrysobalanaceae","","N39167",54.515818,"N39168",33.661521,22,74,""
"F","Euphroniaceae","","N39167",54.515819,"N39167",54.515819,1,1,"Euphronia_guianensis"
"F","Dichapetalaceae","","N39241",51.895582,"N39242",16.294693,2,3,""
"F","Trigoniaceae","","N39241",51.895582,"N39244",38.264425,2,3,""
"F","Balanopaceae","","N39165",81.53595,"N39246",19.127901,1,2,""
"F","Putranjivaceae","","N39247",59.006023,"N39248",13.134924,2,13,""
"F","Lophopyxidaceae","","N39247",59.006024,"N39247",59.006024,1,1,"Lophopyxis_maingayi"
"F","Euphorbiaceae","","N39262",73.2307932432001,"N39263",61.8965070032,168,1853,""
"F","Rafflesiaceae","","N39262",73.23079424,"N39262",73.23079424,1,1,"Rafflesia_arnoldii"
"F","Peraceae","","N39261",74.2307930000001,"N41120",67.648462,3,9,""
"F","Linaceae","","N41129",89.7013940000001,"N41130",56.795912,12,77,""
"F","Ixonanthaceae","","N41129",89.7013940000001,"N41206",28.823825,3,3,""
"F","Ochnaceae","","N41208",92.2300140000001,"N41209",58.232968,25,73,""
"F","Caryocaraceae","","N41208",92.2300140000001,"N41281",13.525355,2,2,""
"F","Humiriaceae","","N36877",103.510886,"N41282",24.417957,4,7,""
"F","Elaeocarpaceae","","N41291",80.871145,"N41292",64.13408,11,166,""
"F","Brunelliaceae","","N41457",75.577736,"N41458",12.171907,1,5,""
"F","Cephalotaceae","","N41457",75.577737,"N41457",75.577737,1,1,"Cephalotus_follicularis"
"F","Cunoniaceae","","N41463",58.770221,"N41464",58.128319,23,90,""
"F","Connaraceae","","N41562",57.391491,"N41563",27.689094,7,19,""
"F","Oxalidaceae","","N41562",57.391491,"N41581",45.669319,5,12,""
"F","Huaceae","","N41288",106.360192,"N41592",21.935473,2,3,""
"F","Celastraceae","","N41594",92.6068770000001,"N41595",70.163258,92,454,""
