"level","family","genus","rn","rn.bl","bn","bn.bl","gen.n","sp.n","taxa"
"F","Acanthaceae","","N13145",41.8945970000001,"N13146",34.73786,88,405,""
"F","Achariaceae","","N38861",90.000814,"N39141",64.938055,12,12,""
"F","Achatocarpaceae","","N27559",64.156251,"N28070",4.243288,2,2,""
"F","Acoraceae","","N53978",133.234403,"N69625",30.000014,1,2,""
"F","Actinidiaceae","","N22791",84.813947,"N22792",35.337748,3,70,""
"F","Adoxaceae","","N10406",70.937964,"N10847",58.853281,4,158,""
"F","Aizoaceae","","N26402",74.8761560000001,"N26403",67.888952,111,336,""
"F","Akaniaceae","","N44297",71.10908,"N44298",16.632137,2,2,""
"F","Alismataceae","","N69480",72.05475,"N69481",40.17413,17,72,""
"F","Alseuosmiaceae","","N7322",53.5013340000001,"N7323",18.601513,2,5,""
"F","Alstroemeriaceae","","N67279",59.124946,"N67524",49.702696,4,128,""
"F","Altingiaceae","","N51044",92.66589,"N51045",24.232851,2,16,""
"F","Amaranthaceae","","N14",125.075572,"N15",123.734237,119,513,""
"F","Amaryllidaceae","","N58425",62.493369,"N58920",55.210015,57,430,""
"F","Anacampserotaceae","","N25324",28.098948,"N26250",19.437466,3,12,""
"F","Anacardiaceae","","N45026",83.3502210000001,"N45027",79.918341,68,221,""
"F","Ancistrocladaceae","","N28697",36.156438,"N28698",3.801979,1,16,""
"F","Anisophylleaceae","","N35639",64.6046040000001,"N36796",34.275261,4,16,""
"F","Annonaceae","","N69631",94.218156,"N69632",71.203446,99,994,""
"F","Aphanopetalaceae","","N50235",83.590833,"N50353",12.222594,1,2,""
"F","Apiaceae","","N7774",58.0018380000001,"N7775",55.977161,355,2005,""
"F","Apocynaceae","","N18853",52.073116,"N18854",30.894505,210,1151,""
"F","Aponogetonaceae","","N69340",78.196214,"N69466",12.822255,1,15,""
"F","Aquifoliaceae","","N11076",64.172058,"N11077",43.189173,1,139,""
"F","Araceae","","N68392",128.861377,"N68393",126.220518,116,945,""
"F","Araliaceae","","N7772",63.3691980000001,"N7773",60.188166,36,528,""
"F","Araucariaceae","","N72029",85.2867430000001,"N72167",18.277978,3,33,""
"F","Arecaceae","","N65888",97.209004,"N65889",49.571573,176,751,""
"F","Argophyllaceae","","N7330",64.918189,"N7725",0.143906,1,3,""
"F","Aristolochiaceae","","N71315",105.443018,"N71598",88.423335,5,224,""
"F","Asparagaceae","","N58425",62.493369,"N58426",59.186079,97,495,""
"F","Asphodelaceae","","N58424",67.550477,"N59349",52.270332,34,289,""
"F","Aspleniaceae","","N73009",82.634057,"N73010",69.223851,2,122,""
"F","Asteliaceae","","N60551",64.500578,"N60563",34.107829,3,8,""
"F","Asteraceae","","N14",125.075572,"N15",123.734237,1158,7044,""
"F","Atherospermataceae","","N71298",78.3763510000001,"N71299",48.468939,4,5,""
"F","Athyriaceae","","N72862",104.219364,"N72863",90.634058,4,7,""
"F","Balanopaceae","","N39575",81.53595,"N39656",19.127901,1,2,""
"F","Balanophoraceae","","N29045",79.377285,"N29046",75.455052,9,14,""
"F","Balsaminaceae","","N24889",50.464197,"N24890",31.346522,1,112,""
"F","Basellaceae","","N26275",36.7821480000001,"N26289",18.485663,3,6,""
"F","Begoniaceae","","N36257",45.4160940000001,"N36258",31.890679,3,522,""
"F","Berberidaceae","","N52033",80.283056,"N53254",42.942157,14,240,""
"F","Berberidopsidaceae","","N28780",27.131623,"N28781",18.087757,2,4,""
"F","Betulaceae","","N36816",78.445342,"N36817",68.275449,6,86,""
"F","Biebersteiniaceae","","N45025",87.5139460000001,"N46330",43.756987,1,4,""
"F","Bignoniaceae","","N13644",46.0113470000001,"N13645",42.663837,62,124,""
"F","Bixaceae","","N44904",50.7738570000001,"N44905",40.468427,2,2,""
"F","Blandfordiaceae","","N60550",84.543303,"N60570",7.610074,1,3,""
"F","Blechnaceae","","N72981",27.6419030000001,"N72982",16.290352,6,9,""
"F","Bonnetiaceae","","N37772",88.379892,"N37814",57.389393,3,9,""
"F","Boraginaceae","","N11234",92.678478,"N11235",89.751068,116,1070,""
"F","Boryaceae","","N60549",93.322815,"N60572",6.696366,1,3,""
"F","Brassicaceae","","N14",125.075572,"N15",123.734237,252,1510,""
"F","Bromeliaceae","","N64101",75.8898800000001,"N64102",31.789173,50,788,""
"F","Brunelliaceae","","N41885",75.577736,"N41886",12.171907,1,5,""
"F","Bruniaceae","","N11009",78.2673270000001,"N11010",45.457636,6,65,""
"F","Burmanniaceae","","N68124",79.904089,"N68311",77.029758,11,56,""
"F","Burseraceae","","N45865",51.5591730000001,"N45866",40.413179,14,237,""
"F","Buxaceae","","N13",128.553926,"N51130",85.100119,6,33,""
"F","Byblidaceae","","N13968",47.9854820000001,"N13969",15.488787,1,3,""
"F","Cabombaceae","","N72015",98.406804,"N72019",46.672715,2,2,""
"F","Cactaceae","","N25324",28.098948,"N25325",21.569185,118,926,""
