"level","family","genus","rn","rn.bl","bn","bn.bl","gen.n","sp.n","taxa"
"F","Mayacaceae","","N64319",77.167973,"N64319",77.167973,1,1,"Mayaca_fluviatilis"
"F","Metaxyaceae","","N74325",78.88833641,"N74325",78.88833641,1,1,"Metaxya_rostrata"
"F","Mitrastemonaceae","","N25293",102.1271935,"N25293",102.1271935,1,1,"Mitrastemon_matudae"
"F","Muntingiaceae","","N45596",38.58316,"N45596",38.58316,1,1,"Muntingia_calabura"
"F","Neuradaceae","","N45069",76.302168,"N45069",76.302168,1,1,"Neurada_procumbens"
"F","Oleandraceae","","N74075",24.43379871,"N74075",24.43379871,1,1,"Oleandra_musifolia"
"F","Oncothecaceae","","N21551",68.350537,"N21551",68.350537,1,1,"Oncotheca_balansae"
"F","Peltantheraceae","","N15019",52.885031,"N15019",52.885031,1,1,"Peltanthera_floribunda"
"F","Pentadiplandraceae","","N45000",55.382411,"N45000",55.382411,1,1,"Pentadiplandra_brazzeana"
"F","Pentaphragmataceae","","N26",78.113244,"N26",78.113244,1,1,"Pentaphragma_ellipticum"
"F","Petenaeaceae","","N45802",57.271231,"N45802",57.271231,1,1,"Petenaea_cordata"
"F","Petermanniaceae","","N68320",80.489157,"N68320",80.489157,1,1,"Petermannia_cirrosa"
"F","Phellinaceae","","N7385",31.429434,"N7385",31.429434,1,1,"Phelline_lucida"
"F","Philesiaceae","","N68190",43.219279,"N68190",43.219279,1,1,"Philesia_magellanica"
"F","Physenaceae","","N28575",42.059095,"N28575",42.059095,1,1,"Physena_madagascariensis"
"F","Plagiogyriaceae","","N74329",60.015,"N74329",60.015,1,1,"Plagiogyria_adnata"
"F","Plocospermataceae","","N11412",77.046544,"N11412",77.046544,1,1,"Plocosperma_buxifolium"
"F","Quillajaceae","","N29764",98.697731,"N29764",98.697731,1,1,"Quillaja_saponaria"
"F","Rafflesiaceae","","N40361",73.23079424,"N40361",73.23079424,1,1,"Rafflesia_arnoldii"
"F","Rhachidosoraceae","","N74107",88.634057,"N74107",88.634057,1,1,"Rhachidosorus_blotianus"
"F","Roridulaceae","","N23128",84.813948,"N23128",84.813948,1,1,"Roridula_gorgonias"
